Date,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Quarter,Rolling_Mean_5,Rolling_Mean_10,Close_Lag_1,Close_Lag_5,Volume_Close_Interaction
2014-04-22,-1.25120101596776,-1.2468152218733894,-1.2449804661286523,-1.243593535680112,-1.243593535680112,0.1071116726572728,1,4,2,-1.2603666000611429,-1.2637796141366413,-1.254447276849448,-1.2813326484799608,-0.000926752676410966
2014-04-23,-1.2433576533758623,-1.249319458046329,-1.246681657834737,-1.2529731726847917,-1.2529731726847917,0.0996746473208109,2,4,2,-1.2553185666402278,-1.2633994224497778,-1.243593535680112,-1.278213339789366,0.0007517826231923766
2014-04-24,-1.239629054879547,-1.2450774355533096,-1.251590688371814,-1.247161608779836,-1.247161608779836,0.1304699976452932,3,4,2,-1.2519403569037455,-1.264366493752377,-1.2529731726847917,-1.2640526574622482,-0.0006051484146067754
2014-04-25,-1.2530775324619006,-1.258618308581806,-1.2624074647712331,-1.266954389062377,-1.266954389062377,0.1264633311679803,4,4,2,-1.2530259966113129,-1.263783152942828,-1.247161608779836,-1.2615261905245398,0.0020070060768266522
2014-04-28,-1.2621475160691609,-1.2627712608844703,-1.2772058363908754,-1.2672698988236963,-1.2672698988236963,0.1503933826325255,0,4,2,-1.2555905210061626,-1.2617524718136377,-1.266954389062377,-1.254447276849448,3.7452477112071395e-05
2014-04-29,-1.2627730436868434,-1.262808944478437,-1.261817534400121,-1.2593451113426104,-1.2593451113426104,0.1103468748826082,1,4,2,-1.2587408361386623,-1.2595537180999024,-1.2672698988236963,-1.243593535680112,-0.0006900467954445624
2014-04-30,-1.2639479414693664,-1.261543386758332,-1.2617132949886647,-1.2563481687909224,-1.2563481687909224,0.1323510144021931,2,4,2,-1.2594158353598885,-1.2573672010000583,-1.2593451113426104,-1.2529731726847917,-0.0003149640104594742
2014-05-01,-1.254140949183652,-1.2525251856180202,-1.2521148330202176,-1.25284264002823,-1.25284264002823,0.1255379405569385,3,5,2,-1.2605520416095672,-1.2562461992566563,-1.2563481687909224,-1.247161608779836,-0.0003502825668580617
2014-05-02,-1.2494142686613705,-1.2537394884261297,-1.249293938925532,-1.2538081577099276,-1.2538081577099276,0.1042585376446151,4,5,2,-1.2579227953390772,-1.255474395975195,-1.25284264002823,-1.266954389062377,8.03480487873101e-05
2014-05-05,-1.2601241293632994,-1.25555290530293,-1.2573996880108074,-1.2499572411914563,-1.2499572411914563,0.0782724698125671,0,5,2,-1.2544602638126292,-1.255025392409396,-1.2538081577099276,-1.2672698988236963,-0.00024040419986842308
2014-05-06,-1.2522453104456572,-1.2571395627336537,-1.2589336010395815,-1.2655402396852802,-1.2655402396852802,0.1047917825313739,1,5,2,-1.2556992894811632,-1.2572200628099128,-1.2499572411914563,-1.2593451113426104,0.001306420840280079
2014-05-07,-1.2638663393225609,-1.2683192255708515,-1.2753179383032385,-1.26910014626735,-1.26910014626735,0.1630107629341662,2,5,2,-1.2582496849764488,-1.2588327601681688,-1.2655402396852802,-1.2563481687909224,0.00045854179086542884
2014-05-08,-1.2726262484244892,-1.2634160958824918,-1.2701428159122128,-1.2734976271520737,-1.2734976271520737,0.1562224272537613,3,5,2,-1.2623806824012174,-1.2614663620053925,-1.26910014626735,-1.25284264002823,0.0005413167271583159
2014-05-09,-1.275302385673925,-1.2734894333363476,-1.2741682238283143,-1.2679578848993225,-1.2679578848993225,0.1162950291864533,4,5,2,-1.2652106278390964,-1.261566711589087,-1.2734976271520737,-1.2538081577099276,-0.0005058858950604024
2014-05-12,-1.2618673865647398,-1.2533401231216972,-1.255824642064118,-1.2483799591720908,-1.2483799591720908,0.1074864100433284,0,5,2,-1.2648951714352235,-1.2596777176239264,-1.2679578848993225,-1.2499572411914563,-0.0016596457797035898
2014-05-13,-1.2477090571428788,-1.251022196079381,-1.2459683281610838,-1.2521029983964296,-1.2521029983964296,0.1114683383557916,1,5,2,-1.2622077231774533,-1.2589535063293085,-1.2483799591720908,-1.2655402396852802,0.00033243163903856073
2014-05-14,-1.2539151989001447,-1.2571746110206814,-1.255347191023824,-1.2601365409723615,-1.2601365409723615,0.0968957268027021,2,5,2,-1.2604150021184555,-1.2593323435474522,-1.2521029983964296,-1.26910014626735,0.0006216868322272952
